age,agegroup,agegroup2
65,65-69,65-69
66,65-69,65-69
67,65-69,65-69
68,65-69,65-69
69,65-69,65-69
70,70-74,70-74
71,70-74,70-74
72,70-74,70-74
73,70-74,70-74
74,70-74,70-74
75,75-79,75-79
76,75-79,75-79
77,75-79,75-79
78,75-79,75-79
79,75-79,75-79
80,80-84,80-84
81,80-84,80-84
82,80-84,80-84
83,80-84,80-84
84,80-84,80-84
85,85-89,85-90
86,85-89,85-90
87,85-89,85-90
88,85-89,85-90
89,85-89,85-90
90,90-94,85-90
91,90-94,
92,90-94,
93,90-94,
94,90-94,
95,95+,
96,95+,
97,95+,
98,95+,
99,95+,
100,95+,
101,95+,
102,95+,
103,95+,
104,95+,
105,95+,
106,95+,
107,95+,
108,95+,
109,95+,
110,95+,
111,95+,
112,95+,
113,95+,
114,95+,
115,95+,
116,95+,
117,95+,
118,95+,
119,95+,
120,95+,
